公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
名游网络,高级php开发工程师,12k-20k,游戏 不需要融资 少于15人,经验3-5年 大专,“扁平化管理”,游戏 ,[思明区]
厦门回车网络,php工程师,6k-10k·13薪,"软件开发,其他 未融资 15-50人",经验1-3年 本科,“往技术总监方向培养”,PHP ,[思明区]
TOB,PHP开发工程师,9k-18k,"移动互联网,教育 未融资 15-50人",经验3-5年 本科,"“领导好,晋升空间,下午茶”",PHP 数据库 系统架构 ,[莲前]
指纹科技,PHP工程师,13k-16k,电商 不需要融资 150-500人,经验3-5年 本科,“PHP”,PHP ,[思明区]
格普网络,php工程师（兼职）,10k-20k,"电商,移动互联网 未融资 15-50人",经验3-5年 大专,“高薪”,PHP 全栈 ,[思明区]
TOB,php开发工程师,5k-10k,"移动互联网,教育 未融资 15-50人",经验应届毕业生 本科,“创始团队靠谱”,PHP 数据库 系统架构 后端 ,[莲前]
指纹科技,中级PHP工程师,8k-13k,电商 不需要融资 150-500人,经验1-3年 本科,"“中级PHP,五险一金,季度团建”",电商 移动互联网 ERP PHP 区块链 Java ,[思明区]
复力科技,php开发工程师,11k-20k,"金融,软件开发 未融资 少于15人",经验5-10年 本科,"“金融,互联网”",金融 汽车 ,[湖里区]
美柚,php开发工程师,10k-20k,移动互联网 D轮及以上 500-2000人,经验3-5年 本科,“绩效奖金、免费班车”,移动互联网 PHP ,[思明区]
点媒,PHP开发工程师,10k-15k,移动互联网 未融资 15-50人,经验1-3年 不限,“五险一金、带薪年假”,后端 PHP MySQL ,[思明区]
财穗快线,php开发工程师,4k-8k,移动互联网 未融资 15-50人,经验1-3年 大专,“五险一金、周末双休、7.5时/天、全勤奖”,后端 PHP ,[湖里区]
喵宝科技,高级php开发工程师,10k-20k·13薪,移动互联网 不需要融资 50-150人,经验5-10年 本科,“技术提升/发展前景/薪资福利”,PHP MySQL ,[后溪]
稿定科技,高级PHP开发工程师,15k-30k,"电商,企业服务 不需要融资 150-500人",经验不限 本科,“行业大牛带你飞；海景办公楼；弹性上班”,电商 后端 ,[湖里区]
稿定科技,PHP开发工程师,7k-14k,"电商,企业服务 不需要融资 150-500人",经验1-3年 大专,“行业大牛带你飞；海景办公楼；弹性上班”,后端 服务器端 ,[湖里区]
赞国文化,php开发工程师,15k-25k,"社交,软件开发 未融资 15-50人",经验3-5年 大专,“专注智能应用化的短视频平台”,社交 PHP MySQL ,[思明区]
厦门侠网旅游服务有限公司,PHP开发工程师,4k-7k,"旅游,移动互联网 A轮 50-150人",经验1-3年 大专,“六险一金 年度体检 年度旅游”,后端 JS ,[厦禾路]
叹大芊贸易,php工程师,8k-11k,物流丨运输 未融资 15-50人,经验1-3年 大专,“高成才”,物流 电商 Yii ,[湖里区]
美图公司,php开发工程师,10k-15k·15薪,硬件 上市公司 2000人以上,经验3-5年 本科,“公司发展完善，福利健全”,PHP 分布式 Shell ,[软件园]
任学教育,php工程师,8k-15k,"教育,人工智能 未融资 15-50人",经验3-5年 大专,“高薪”,JS MySQL PHP Laravel ,[思明区]
优托邦,php,8k-15k,"移动互联网,广告营销 未融资 15-50人",经验3-5年 本科,“五险一金，周末双休，节假福利，零食下午茶”,移动互联网 其他 ,[湖里区]
创想高科,php开发工程师,7k-12k,"移动互联网,电商 不需要融资 50-150人",经验3-5年 不限,“前景可期，双休，医社金，适合干事业！”,后端 PHP 平台 客户端 ,[集美区]
三头六臂,中级PHP开发工程师,7k-10k,"移动互联网,消费生活 A轮 150-500人",经验1-3年 本科,“汽车后市场”,汽车 后端 MySQL PHP ,[禾山]
林讯科技,PHP研发人员,8k-15k,"移动互联网,文娱丨内容 未融资 15-50人",经验不限 本科,“激励机制”,信息安全 后端 MySQL PHP ,[思明区]
润静网络,php开发工程师,7k-9k,"电商,软件开发 未融资 少于15人",经验1-3年 不限,“创业型公司跟着一起打拼天下”,PHP ,[莲坂]
创想高科,php开发工程师,4k-8k,"移动互联网,电商 不需要融资 50-150人",经验应届毕业生 不限,“前景可期，双休，医社金，适合干事业！”,后端 平台 PHP Yii ,[后溪]
游动网络,php后端,4k-7k,游戏 不需要融资 150-500人,经验1-3年 大专,“晋升渠道 涨薪机制”,后端 平台 ,[思明区]
奇兔网络科技有限公司,php后端,10k-15k,"电商,企业服务 不需要融资 15-50人",经验3-5年 本科,“前景好”,工具软件 企业服务 PHP 企业软件 ERP docker ,[湖里区]
领晟云服信息技术咨询,php开发工程师,11k-16k·13薪,金融 不需要融资 15-50人,经验3-5年 不限,“技术自由，代码核心，技术提升空间大”,金融 ,[思明区]
MetaApp,php工程师,12k-18k·13薪,"移动互联网,游戏 C轮 150-500人",经验1-3年 本科,“PHP”,Yii ,[思明区]
德谱家,php开发工程师,5k-7k,"移动互联网,电商 未融资 少于15人",经验应届毕业生 本科,“发展空间大，创始团队有优势”,Phalcon docker PHP Javascript ,[思明区]
橙序科技,php工程师,6k-9k,"移动互联网,企业服务 天使轮 15-50人",经验1-3年 不限,“发展前景”,PHP 软件开发 Yii 后端 ,[思明区]
风云网络,php开发工程师,6k-10k,软件开发 未融资 少于15人,经验1-3年 本科,“微擎后端php开发”,工具软件 PHP ,[湖里区]
微赛网络,php开发工程师,5k-10k,移动互联网 未融资 15-50人,经验1-3年 大专,“发展空间大、五险、满勤奖、年终奖”,电商 MySQL Javascript PHP HTML/CSS ,[思明区]
厦门成维网络科技有限公司,php开发工程师,5k-7k,"移动互联网,电商 不需要融资 50-150人",经验1-3年 大专,“入职立缴六险、节日福利、生日福利、团建”,Laravel Linux/Unix MySQL PHP ,[金尚路]
和新电商,php开发工程师,10k-15k·13薪,电商 未融资 500-2000人,经验3-5年 大专,“项目属性良好，技术性强，非外包性质”,电商 物流 ,[湖里区]
增点网络,php开发工程师,8k-10k·13薪,电商 不需要融资 15-50人,经验1-3年 大专,“良好的发展前景，和晋升加薪空间”,,[集美区]
世纪海航,php开发工程师,8k-15k,"移动互联网,教育 A轮 50-150人",经验3-5年 大专,“周末双休，清华大学和腾讯的大神带团队”,PHP ,[后溪]
快快网络,php开发工程师,7k-12k,"信息安全,移动互联网 不需要融资 50-150人",经验1-3年 大专,“发展空间大 福利待遇好 开发环境好”,PHP ,[思明区]
蓝畅网络科技,php后端,10k-20k,"移动互联网,企业服务 不需要融资 少于15人",经验3-5年 大专,“法定节假日放假，节日福利，带薪年假”,后端 ,[后溪]
厦门互啪智能科技有限公司,php开发工程师,8k-15k,"企业服务,数据服务 未融资 15-50人",经验3-5年 不限,“福利待遇”,移动互联网 大数据 后端 ,[开元]
