公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
快搜,php开发工程师,8k-12k,"移动互联网,社交 不需要融资 15-50人",经验3-5年 不限,“五险一金、绩效奖金、季度分红”,Laravel Linux/Unix ,[高新技术产业开发区]
翼课网,PHP研发工程师,7k-12k,"移动互联网,教育 不需要融资 500-2000人",经验1-3年 本科,“朝阳行业，周末双休，年终奖金”,移动互联网 Shell PHP Javascript ,[郭杜]
安居客,高级/资深PHP开发工程师,13k-25k,移动互联网 上市公司 500-2000人,经验不限 本科,"“技术牛,弹性时间,发展通道”",MySQL PHP ,[文艺路]
萌宝教育,php开发工程师,12k-20k·13薪,"教育,文娱丨内容 不需要融资 150-500人",经验3-5年 本科,“教育领域发展前景可观，技术团队势力雄厚。”,教育 移动互联网 Java PHP Python Golang ,[雁塔区]
云积互动,php开发工程师,12k-24k,"企业服务,移动互联网 天使轮 150-500人",经验3-5年 本科,"“五险一金,周末双休,员工旅游,节日福利”",电商 后端 Laravel ,[等驾坡]
西安英兆软件,PHP软件工程师,6k-10k,"移动互联网,电商 未融资 50-150人",经验1-3年 大专,“五险一金+双休”,MySQL Shell Hadoop PHP ,[唐延路]
电巢科技,php开发工程师,7k-12k,软件开发 不需要融资 50-150人,经验3-5年 大专,“五险一金 周末双休 弹性打卡”,Linux/Unix MySQL PHP ,[电子城]
大唐云SaaS,php开发工程师,6k-9k,"移动互联网,信息安全 不需要融资 15-50人",经验3-5年 大专,“基本工资+绩效 公司期权”,移动互联网 云计算 Laravel PHP ,[郭杜]
维客软件,PHP开发工程师[B],8k-12k,"移动互联网,企业服务 不需要融资 少于15人",经验1-3年 本科,“不加班”,PHP 后端 全栈 ,[高新技术产业开发区]
源动力数据,php后端开发工程师,4k-8k,"企业服务,软件开发 未融资 少于15人",经验不限 大专,“发展前景”,PHP 后端 服务器端 ,[经济技术开发区]
安畅网络,PHP开发工程师,10k-15k,"电商,数据服务 上市公司 150-500人",经验3-5年 大专,“老板好；技术新；出差补贴；节日福利；年终奖”,PHP ,[雁塔区]
八音App,php开发工程师,8k-15k,"移动互联网,消费生活 天使轮 15-50人",经验3-5年 本科,“转正享有五险一金”,教育 ,[韦曲]
敦煌智旅,php工程师,8k-12k,"旅游,移动互联网 不需要融资 150-500人",经验3-5年 本科,"“国企控股,技能提升快”",PHP MySQL 后端 ,[雁塔区]
唯真教育,php后端,6k-7k,教育 不需要融资 50-150人,经验1-3年 大专,“…”,教育 后端 ,[雁塔区]
腾讯,经营平台PHP工程师(腾讯西安子公司）,18k-30k,社交 上市公司 2000人以上,经验3-5年 本科,“腾讯 西安”,PHP Linux/Unix ,[高新技术产业开发区]
