公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
果酱文化,php开发工程师,10k-20k·14薪,"移动互联网,文娱丨内容 B轮 15-50人",经验3-5年 本科,“年轻开明，项目发展好，氛围融洽，有大神”,MySQL ,[雨花台区]
南京红豆,php开发工程师,9k-18k,游戏 未融资 50-150人,经验不限 本科,“五险一金，节假日福利，春游秋游，免费体检”,游戏 ,[长白街]
车300,php开发工程师,8k-13k,"移动互联网,数据服务 C轮 150-500人",经验应届毕业生 本科,“精英团队 独角兽企业 高新技术企业”,大数据 云计算 PHP ,[三牌楼]
百助,PHP工程师（南京）,15k-30k,移动互联网 未融资 150-500人,经验应届毕业生 本科,“股票期权、14薪、出国游、五险一金”,PHP Linux/Unix MySQL Yii ,[雨花台区]
通服智慧物联科技（南京）有限公司,PHP高级开发工程师,12k-20k,"软件开发,物联网 A轮 50-150人",经验5-10年 本科,“国企背景”,新零售 企业服务 PHP 全栈 ,[小行]
零七优服,php开发工程师,8k-14k·13薪,企业服务 未融资 50-150人,经验3-5年 大专,“六险一金 年终奖 团建旅游”,PHP ,[建邺区]
南京奇炫欢享网络技术有限公司,php开发工程师,8k-10k,"移动互联网,游戏 未融资 15-50人",经验1-3年 大专,“周末双休、五险一金、年终奖、国内外旅游”,游戏 PHP ,[奥体]
育儿网,PHP高级开发工程师,10k-15k·13薪,"医疗丨健康,消费生活 上市公司 500-2000人",经验1-3年 本科,“六险一金、午餐补贴、交通便利、技术氛围浓厚”,企业服务 后端 数据库 算法 MySQL ,[新街口]
星蝠科技,php工程师,6k-12k·13薪,"移动互联网,人工智能 A轮 50-150人",经验不限 本科,“公司一年完成3轮融资，发展很快”,PHP ,[栖霞区]
星蝠科技,php开发工程师,6k-12k·13薪,"移动互联网,人工智能 A轮 50-150人",经验应届毕业生 本科,“公司一年完成3轮融资，发展很快”,PHP ,[栖霞区]
九则科技,php开发工程师,5k-10k,"移动互联网,企业服务 不需要融资 少于15人",经验1-3年 本科,“五险一金，弹性工作，”,移动互联网 大数据 PHP 后端 ,[雨花台区]
应酷,PHP / Joomla 开发工程师,8k-16k,"移动互联网,企业服务 未融资 50-150人",经验3-5年 不限,“期权股票 项目奖金”,企业服务 PHP ,[浦口区]
蓝牛科技,PHP 中级工程师,8k-13k,移动互联网 未融资 15-50人,经验3-5年 不限,“节日福利、定期团建、五险一金、绩效奖金”,通信/网络设备 移动互联网 数据库 PHP ,[浦口区]
南海中天,php,8k-15k,"电商,软件开发 未融资 50-150人",经验3-5年 本科,“试用期享转正薪资”,电商 移动互联网 ,[雨花台区]
科斯克,PHP开发工程师,6k-11k,"移动互联网,企业服务 天使轮 15-50人",经验不限 大专,“大神带队，成长快，扁平化管理”,电商 移动互联网 PHP 后端 数据库 ,[鼓楼区]
