公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
人大金仓,实施DBA（福建）,10k-15k,数据服务 不需要融资 150-500人,经验3-5年 本科,“全额公积金”,Oracle SQLServer 数据仓库 Web安全 ,[乌山]
朴朴,DBA工程师,15k-30k·13薪,"电商,移动互联网 B轮 2000人以上",经验3-5年 本科,“即时电商头部玩家，期权激励，千万用户平台”,DBA MySQL ,[中亭街]
朴朴,DBA开发工程师,15k-25k,"电商,移动互联网 B轮 2000人以上",经验3-5年 本科,“极客氛围，大牛云集”,DBA ,[仓前]
数科网维,实施工程师,6k-12k,企业服务 未融资 150-500人,经验不限 大专,“团建、年度旅游、年终奖、项目奖、弹性办公”,软件开发 实施 ,[晋安区]
厦门唐普,中级java开发工程师,8k-15k,"企业服务,数据服务 B轮 50-150人",经验3-5年 本科,“五险一金”,银行 Java ,[台江区]
广州南天,Java中级开发工程师（福州）,10k-14k,数据服务 上市公司 500-2000人,经验5-10年 大专,"“五险一金,带薪年假,节日福利,周末双休”",Java ,[鼓楼区]
广州南天,java开发工程师（福州）,7k-10k,数据服务 上市公司 500-2000人,经验1-3年 大专,"“五险一金,带薪年假,节日福利,周末双休”",Java ,[鼓楼区]
网翔网络,运维工程师,7k-10k·13薪,电商 不需要融资 50-150人,经验1-3年 本科,“多渠道晋升 项目制 双休”,电商 Shell Linux 运维开发 ,[晋安区]
网翔网络,高级php开发工程师,10k-15k·13薪,电商 不需要融资 50-150人,经验3-5年 本科,“绩效奖金 双休”,电商 PHP ,[晋安区]
半云科技,Java开发工程师,6k-12k,移动互联网 天使轮 150-500人,经验1-3年 本科,“节日福利、定期体检、六险一金、绩效奖金”,Javascript ,[鼓楼区]
福建云禾科技,前端研发工程师,4k-6k,软件开发 未融资 15-50人,经验不限 不限,“发展空间大”,前端开发 ,[仓山区]
顶点软件,大数据开发工程师（福州）,10k-20k,"移动互联网,企业服务 上市公司 500-2000人",经验1-3年 本科,"“六险一金,年终奖,过节费,旅游体检”",大数据 软件开发 ,[鼓楼区]
顶点软件,初级JAVA开发工程师,6k-10k,"移动互联网,企业服务 上市公司 500-2000人",经验1-3年 本科,"“五险一金,年底双薪,过节费,体检旅游”",Javascript ,[鼓楼区]
金科信息,服务器存储工程师,7k-10k,企业服务 上市公司 150-500人,经验3-5年 大专,“带薪年假、六险一金、定期体检、通讯补贴”,通信/网络设备 信息安全 系统运维 ,[鼓楼区]
福建未来无线信息技术有限公司,中高级java开发工程师,15k-25k,"数据服务,移动互联网 未融资 150-500人",经验5-10年 本科,“Java”,Java ,[晋安区]
汇泉信,Java开发工程师,5k-7k,"信息安全,软件开发 未融资 15-50人",经验不限 本科,“13薪，项目奖”,Java ,[鼓楼区]
一人一车,java开发工程师,15k-30k,金融 / /,经验3-5年 本科,“五险一金 节日津贴”,Java docker MySQL 分布式 ,[晋安区]
一米网络,php开发工程师,4k-8k,"不限,企业服务 不需要融资 15-50人",经验1-3年 不限,“移动互联网，弹性工作，五险一金，节日福利”,MySQL 后端 PHP ,[宝龙]
中清北科,全栈工程师,8k-15k,软件开发、教育 天使轮 少于15人,经验不限 不限,“期权、五险一金、扁平化、核心成员”,PHP MySQL ,[建新]
百代网络,web前端开发工程师,8k-12k·13薪,"移动互联网,电商 不需要融资 50-150人",经验1-3年 本科,“领导适度放权、工作氛围佳”,电商 jQuery Vue React Web前端 ,[金山工业]
宝宝巴士,大数据分析工程师（中高级）,8k-15k,移动互联网 B轮 500-2000人,经验不限 本科,“六险一金，部门旅游”,数据库 SQL ,[金山工业]
墨家互娱,PHP工程师,8k-15k,游戏 不需要融资 15-50人,经验3-5年 大专,“弹性工作制、工作氛围活跃”,移动互联网 后端 PHP JS ,[工业路]
兴业数金,java后端工程师,15k-25k,"金融,移动互联网 不需要融资 500-2000人",经验不限 本科,“全国商业银行科技公司，自主规范化设计和开发”,Java 分布式 ,[马尾区]
厦门唐普,福州java软件开发工程师,13k-18k,"企业服务,数据服务 B轮 50-150人",经验5-10年 大专,“8小时双休”,MySQL ,[闽侯县]
天础科技,java开发工程师,2k-3k,"移动互联网,其他 不需要融资 15-50人",经验应届毕业生 本科,“实习生每月有500元的住房补贴”,移动互联网 互联网金融 后端 Linux/Unix MySQL 软件开发 ,[鼓楼区]
天础科技,JAVA开发工程师（初级）,5k-6k·13薪,"移动互联网,其他 不需要融资 15-50人",经验应届毕业生 本科,“五险一金，生日福利，过节福利，出差补贴，”,互联网金融 银行 Java MySQL 后端 ,[鼓楼区]
兴业数金,java工程师,20k-30k,"金融,移动互联网 不需要融资 500-2000人",经验5-10年 本科,"“发展空间大,团队氛围,五险一金,绩效奖金”",服务器端 Java 平台 docker ,[秀山]
法大大,java工程师,10k-15k,消费生活 C轮 150-500人,经验3-5年 本科,“团队氛围好 前沿产品 大牛带队”,Java MySQL ,[鼓楼区]
腾飞讯,java专家,25k-30k·13薪,"移动互联网,电商 不需要融资 500-2000人",经验5-10年 本科,“toB 福利待遇好”,Java ,[鼓楼区]
网龙网络有限公司,软件开发工程师-java,10k-20k,"移动互联网,教育 上市公司 2000人以上",经验3-5年 本科,“五险一金、弹性工作制、带薪年假”,后端 分布式 中间件 ,[鼓楼区]
时代星云,java开发工程师,10k-15k·14薪,通讯电子 不需要融资 150-500人,经验3-5年 本科,“上市公司、新能源行业、公司氛围好、发展潜力大”,Java ,[马尾区]
建乔无线,java开发工程师,10k-15k,社交 未融资 50-150人,经验3-5年 本科,“发展前景好”,Java ,[鳌峰]
华企伟业,java工程师,13k-15k,"移动互联网,电商 上市公司 500-2000人",经验3-5年 本科,“管理规范”,银行 Java MySQL ,[台江区]
剑讯网络,高级PHP开发工程师,15k-30k,电商 不需要融资 15-50人,经验3-5年 不限,“项目、绩效激励、技术挑战、薪资福利”,电商 MySQL PHP ,[洪山桥]
星云股份,软件测试工程师,6k-10k,硬件 上市公司 500-2000人,经验3-5年 本科,“五险一金 上市公司 包住宿”,性能测试 功能测试 自动化测试 ,[闽侯县]
