公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
美图公司,（2021届校招）C/C++研发工程师-厦门,8k-15k,硬件 上市公司 2000人以上,经验应届毕业生 本科,“大数据平台”,移动互联网 ,[思明区]
美图公司,（2021届校招）C++图形开发工程师-厦门,8k-15k,硬件 上市公司 2000人以上,经验应届毕业生 本科,“大数据平台”,移动互联网 ,[思明区]
朗新科技,c++开发工程师(J10486),10k-15k,"移动互联网,企业服务 上市公司 2000人以上",经验3-5年 本科,“六险一金 周末双休 不打卡 年度体检”,C++ Java ,[湖里区]
大道同行,C++服务端程序（3年以上）,25k-50k,游戏 不需要融资 50-150人,经验3-5年 本科,“资深团队、福利齐全、研发氛围好、项目靠谱”,C++ 游戏开发 后端 服务器端 ,[湖里区]
畅享信息,c++开发工程师,5k-8k,"移动互联网,数据服务 不需要融资 150-500人",经验1-3年 本科,"“五险一金,员工旅游，高温补贴，周末双休”",C++ 服务器端 ,[禾山]
勇仕,资深游戏服务端（erlang，c++，c#等）,10k-20k,"移动互联网,游戏 上市公司 50-150人",经验3-5年 本科,"“奖金,分红,项目好,出国游”",游戏 服务器端 C++ Erlang C ,[湖里区]
昇利扬,c++工程师,10k-15k·13薪,软件开发、物联网 未融资 15-50人,经验1-3年 本科,“年底双薪 年终奖 项目奖金 旅游 五险一金”,C++ C ,[集美区]
昇利扬,c++工程师,10k-15k·13薪,软件开发、物联网 未融资 15-50人,经验不限 本科,“年底双薪 年终奖 项目奖金 旅游 五险一金”,C++ C ,[集美区]
厦门云脉技术有限公司,C/C++/python实习生,2k-3k,"移动互联网,其他 未融资 50-150人",经验应届毕业生 不限,“实习岗位，毕业可直接转正，并能安排落户”,C C++ Python ,[集美区]
大道同行,C++服务端（欢迎应届生）,6k-12k,游戏 不需要融资 50-150人,经验不限 本科,“弹性工作制，食堂用餐，健身设施，吧台”,游戏 C++ 算法 游戏开发 C ,[湖里区]
RingCentral厦门研发中心,c++ 工程师，video,15k-25k,"移动互联网,数据服务 上市公司 500-2000人",经验1-3年 本科,“不打卡 硅谷文化 敏捷管理 产品深度”,C++ 视频编解码 音频编解码 音频处理 ,[思明区]
青葱果果,高级c++开发工程师,19k-24k,"教育,软件开发 未融资 15-50人",经验3-5年 大专,“弹性上班时间，餐交补”,,[集美区]
国网信通产业集团亿力吉奥公司,【厦门】中高级C++开发工程师,10k-20k,"移动互联网,信息安全 不需要融资 500-2000人",经验3-5年 本科,"“五险一金,绩效奖金,餐补,带薪年假”",后端 C++ ,[思明区]
行棋网络,软件工程师c++,8k-15k,"数据服务,软件开发 不需要融资 少于15人",经验1-3年 不限,“五险、全勤、年底双薪、绩效奖金、周末双休”,工具软件 移动互联网 C++ 驱动开发 ,[思明区]
RingCentral厦门研发中心,C++ Engineer,15k-30k,"移动互联网,数据服务 上市公司 500-2000人",经验3-5年 本科,"“技术大牛,六险一金”",软件开发 架构师 C++ ,[思明区]
网宿科技,【21届校招】C/C++开发工程师,10k-20k,移动互联网 上市公司 2000人以上,经验应届毕业生 本科,“六险一金 节日礼金 年度体检 免费班车”,C++ ,[集美区]
网宿科技,C/C++开发工程师,10k-20k,移动互联网 上市公司 2000人以上,经验3-5年 本科,“六险一金 五天八小时制 上下班班车”,C C++ ,[集美区]
Manteia科技,c++,10k-20k,"移动互联网,医疗丨健康 A轮 15-50人",经验1-3年 本科,“五险一金、办公环境优美、团队氛围好”,医疗健康 移动互联网 ,[思明区]
厦门科拓通讯技术股份有限公司,c++研发工程师,10k-15k,"硬件,企业服务 不需要融资 500-2000人",经验3-5年 本科,“不限量下午茶、弹性工作时间、牛人同事”,即时通讯 云计算 C++ MySQL ,[思明区]
稿定科技,C++开发工程师,15k-25k,"电商,企业服务 不需要融资 150-500人",经验不限 本科,“行业大牛带你飞；海景办公楼；弹性上班”,C++ 后端 图像处理 音视频 ,[湖里区]
Manteia科技,C++算法工程师,10k-20k,"移动互联网,医疗丨健康 A轮 15-50人",经验不限 本科,“五险一金，氛围好，办公环境优美，定期活动”,医疗健康 C++ ,[思明区]
3397信息科技,c++,8k-16k,"电商,移动互联网 未融资 15-50人",经验1-3年 不限,“周末双休、弹性工作时间、团队年轻、潜力大”,C C#/.NET ,[海沧区]
Cocos,Cocos Creator 引擎研发工程师（C++）,15k-30k,"移动互联网,游戏 A轮 50-150人",经验3-5年 本科,“技术氛围好 发展空间大”,Javascript C/C++ ,[思明区]
影诺医疗,C++/QT开发工程师,11k-18k,"移动互联网,医疗丨健康 天使轮 15-50人",经验1-3年 本科,“扁平管理，965，弹性工作值，期权激励”,C++ Linux/Unix ,[湖里区]
亿联网络,C++业务逻辑开发,12k-24k,移动互联网 上市公司 500-2000人,经验3-5年 本科,“五险一金 周末双休 年底14薪以上 旅游”,即时通讯 客户端 后端 C++ 音视频 ,[湖里区]
美亚柏科,C++开发工程师,10k-20k,"信息安全,数据服务 上市公司 2000人以上",经验不限 本科,“周末双休 五险一金”,C++ ,[思明区]
美亚柏科,C++研发工程师（Qt界面方向）,8k-15k,"信息安全,数据服务 上市公司 2000人以上",经验1-3年 本科,“大平台 五险一金 周末双休 免费班车”,C++ QT 客户端 ,[思明区]
印了么,c++软件工程师,8k-15k,软件开发 未融资 15-50人,经验5-10年 大专,“薪资高福利好，公司发展前景好”,C++ QT 视频流转码 Windows ,[开元]
imkid超级课堂,c++高级工程师/架构师,16k-22k,"移动互联网,教育 天使轮 50-150人",经验3-5年 大专,“福利待遇、发展前景”,C++ ,[思明区]
快快网络,c++开发工程师,12k-16k,"信息安全,移动互联网 不需要融资 50-150人",经验3-5年 本科,“开发环境好，发展空间大”,C++ ,[思明区]
多福多财,c++工程师,9k-18k,软件开发 不需要融资 少于15人,经验不限 不限,“十三薪”,客户端 C++ C QT ,[湖里区]
吉比特,测试开发工程师,10k-20k,游戏 上市公司 500-2000人,经验应届毕业生 本科,“房补餐补、年终奖金、旅游奖金、带薪假”,游戏 ,[思明区]
吉比特,U3D开发工程师,10k-20k,游戏 上市公司 500-2000人,经验3-5年 本科,“A股上市公司，薪酬福利好，做精品游戏”,Unity3d ,[思明区]
亿联网络,android开发,10k-20k·16薪,移动互联网 上市公司 500-2000人,经验不限 本科,“上市公司、发展前景广阔、年终16薪、五险一金”,Android Framework 音视频开发 Socket技术 ,[湖里区]
乐约健康,厦门测试工程师,10k-15k,"移动互联网,医疗丨健康 C轮 150-500人",经验3-5年 大专,“五险一金”,测试 Web测试 ,[禾山]
中闽汇金,量化交易系统-后端开发工程师,13k-20k,金融 不需要融资 15-50人,经验3-5年 本科,“德才兼备，以德为先，任人唯贤，用人所长”,C++ Golang ,[湖里区]
神州鹰,高级测试工程师,10k-15k·13薪,移动互联网 D轮及以上 150-500人,经验5-10年 大专,“五险一金 周末双休 日活百万”,功能测试 接口测试 性能测试 自动化测试 ,[思明区]
神州鹰,资深测试工程师,20k-30k·13薪,移动互联网 D轮及以上 150-500人,经验5-10年 大专,“五险一金 周末双休 日活百万”,功能测试 接口测试 性能测试 自动化测试 ,[思明区]
点触科技,服务端开发工程师（中高级）,10k-20k,游戏 上市公司 500-2000人,经验3-5年 本科,"“五险一金,免费班车,免费早餐,免费体检”",Java Python 嵌入式 ,[思明区]
点触科技,后端开发工程师（Golang),13k-25k,游戏 上市公司 500-2000人,经验1-3年 本科,“福利完善，视频面试，在家办公，技术氛围强”,后端 服务器端 ,[思明区]
勇仕,资深游戏客户端开发（U3D等）,12k-20k,"移动互联网,游戏 上市公司 50-150人",经验3-5年 本科,"“奖金,分红,项目好,出国游”",游戏 前端开发 Unity3d COCOS2D-X C/C++ ,[湖里区]
摩尔脉能,Golang,15k-20k·13薪,区块链 未融资 50-150人,经验1-3年 本科,“技术大牛 扁平化管理 五险一金 弹性工作”,区块链 ,[思明区]
鼎捷软件,软件开发工程师,6k-8k,其他 上市公司 2000人以上,经验应届毕业生 本科,“扁平管理 上市公司”,MySQL 后端 软件开发 数据库 ,[集美区]
灵雀云,后端开发工程师,15k-20k·13薪,"数据服务,企业服务 B轮 150-500人",经验3-5年 本科,“技术前沿、技术氛围浓厚、成长不受限”,云计算 Golang docker ,[集美区]
喵宝科技,嵌入式Linux软件开发工程师,10k-15k,移动互联网 不需要融资 50-150人,经验3-5年 本科,“年终多薪、项目奖金、过节费、七险一金”,教育 嵌入式 Linux ARM ,[后溪]
喵宝科技,嵌入式软件工程师,10k-20k,移动互联网 不需要融资 50-150人,经验3-5年 本科,“年终多薪、出国旅游、过节费、七险一金”,ARM 嵌入式 C Linux ,[后溪]
海鼎,测试工程师-厦门,6k-10k,企业服务 不需要融资 500-2000人,经验1-3年 本科,“团队氛围好、发展空间大”,新零售 测试 ,[前埔医院]
指纹科技,高级计算机视觉算法工程师,25k-35k,电商 不需要融资 150-500人,经验3-5年 本科,"“产品规划,产品运营”",图像处理 算法 计算机视觉 建模 ,[思明区]
特略体育,智能可穿戴设备工程师,9k-18k,"移动互联网,文娱丨内容 天使轮 少于15人",经验1-3年 硕士,"“体育文化,扁平管理,发展好”",大数据 工具软件 ,[鹭江]
优倍快 (UBNT),Golang开发工程师,10k-20k·14薪,"移动互联网,硬件 上市公司 500-2000人",经验不限 大专,"“平台大,上市公司,智能硬件,扁平化管理”",信息安全 大数据 后端 ,[思明区]
优倍快 (UBNT),iOS开发工程师,8k-15k,"移动互联网,硬件 上市公司 500-2000人",经验1-3年 不限,“美国上市公司、从事软硬件一体化的产品研发”,媒体 IOS ,[前埔医院]
久趣英语,客户端程序,15k-25k,教育 C轮 500-2000人,经验3-5年 本科,“出国旅游、下午茶、定期体检、过节费等”,全栈 Cocos2d-X C++ ,[思明区]
网新众达,即时通讯（IM聊天系统）架构师,20k-35k,"软件开发,区块链 未融资 15-50人",经验1-3年 大专,“五险一金 周末双休”,即时通讯 移动互联网 部门管理 高级技术管理 团队建设 ,[思明区]
网新众达,苹果objective-c工程师,10k-15k,"软件开发,区块链 未融资 15-50人",经验1-3年 大专,“五险一金 周末双休 节日福利 下午茶”,即时通讯 工具软件 SDK C/C++ Swift ,[思明区]
美柚,网络安全工程师,13k-20k,移动互联网 D轮及以上 500-2000人,经验3-5年 本科,"“发展空间大,团队氛围好”",安全 ,[软件园]
新奥特视频,OpenGL图像算法工程师,14k-28k,"数据服务,文娱丨内容 上市公司 500-2000人",经验不限 不限,“五险一金、午餐补助、带薪年假、节假日福利”,视频 直播 ,[思明区]
深度赋智,推荐算法工程师-厦门,25k-50k,人工智能 未融资 15-50人,经验不限 硕士,“大牛云集、高速发展、高额年终、弹性工作”,推荐算法 ,[思明区]
深度赋智,计算机视觉算法工程师-厦门,25k-50k,人工智能 未融资 15-50人,经验不限 硕士,“大牛云集、高速发展、高额年终、弹性工作”,深度学习 图像算法 Python ,[思明区]
厦门科拓通讯技术股份有限公司,图像算法工程师,12k-20k,"硬件,企业服务 不需要融资 500-2000人",经验3-5年 本科,“不限量下午茶、弹性工作时间、牛人同事”,驱动开发 算法 机器学习 图像处理 ,[思明区]
极致游戏,服务端开发工程师,9k-18k,游戏 上市公司 150-500人,经验1-3年 本科,“六险一金、超长年假、13薪、年终奖”,Erlang Golang 服务器端 ,[前埔医院]
