公司,职位,月薪,公司介绍,应聘要求,福利,职位关键词,上班地点
微创软件,高级C#开发工程师,15k-20k,"企业服务,移动互联网 不需要融资 2000人以上",经验不限 本科,“平台大、项目好”,C#/.NET 算法 ,[工业园区]
EOULU,C#后台开发工程师,5k-10k,"硬件,企业服务 未融资 50-150人",经验不限 本科,“五险一金、餐补、年底双薪、年度旅游”,大数据 ,[独墅湖]
上海绿建信息科技有限公司,C#软件开发工程师,8k-12k,"信息安全,数据服务 未融资 15-50人",经验不限 本科,"“培训,旅游,团建聚餐,提供住宿”",信息安全 地图 C C++ Windows ,[昆山市]
天准科技,c#高级开发工程师,15k-22k,硬件 上市公司 500-2000人,经验3-5年 本科,“双休，平台规模大，五险一金齐全，”,Wpf Winform C#/.NET C# ,[虎丘区]
芫家房地产经纪,c#软件工程师,10k-15k,"软件开发,其他 未融资 150-500人",经验3-5年 本科,“c#软件工程师”,,[工业园区]
纳视,c#开发工程师,8k-14k,"数据服务,金融 不需要融资 15-50人",经验3-5年 本科,“发展空间大 工作稳定”,C#/.NET Java Python ,[吴江区]
信亨科技,软件工程师C#,13k-25k,"移动互联网,医疗丨健康 未融资 150-500人",经验3-5年 大专,“五险一金/上五休二”,C#/.NET ,[工业园区]
上海御云信息科技有限公司,C#开发工程师,11k-20k,"企业服务,数据服务 未融资 15-50人",经验1-3年 本科,“上五休二、周末双休 、年底双薪”,企业服务 后端 C#/.NET .NET C# ,[长桥]
创源微致,视觉工程师（苏州）(J10377),10k-15k,移动互联网 不需要融资 50-150人,经验1-3年 大专,“智能制造 行业前景好 人工智能”,FAE 技术支持 ,[吴江区]
微创软件,Android开发工程师,10k-14k,"企业服务,移动互联网 不需要融资 2000人以上",经验1-3年 本科,“五险一金 带薪年假 技术大牛 氛围好”,Android 移动端 ,[工业园区]
岐凤科技,.net开发工程师,7k-14k·13薪,"汽车丨出行,软件开发 不需要融资 15-50人",经验1-3年 不限,“年底十三薪 电脑补贴”,.NET ,[姑苏区]
友谊时光,unity3d开发工程师,15k-30k·13薪,"移动互联网,游戏 上市公司 500-2000人",经验3-5年 本科,“一年两次调薪、氛围好”,移动端 ,[吴中区]
苏州承泽医疗科技,软件工程师,10k-15k,"医疗丨健康,移动互联网 A轮 15-50人",经验应届毕业生 本科,“公司非常人性化”,C++ C# C ,[工业园区]
畅行智能,python后端开发工程师,10k-15k·13薪,汽车丨出行 天使轮 50-150人,经验3-5年 本科,“创业团队”,汽车 Python 后端 软件开发 ,[渭塘]
卓月云智能,.net开发工程师,8k-14k·13薪,软件开发 未融资 少于15人,经验3-5年 本科,“年终1-2个月绩效奖金 包午餐和加班晚餐”,C# ,[工业园区]
宇慧软件,.net开发工程师,8k-10k,"移动互联网,企业服务 不需要融资 15-50人",经验3-5年 本科,“成熟团队，五险一金，周末双休，带薪年假”,工具软件 C# ,[工业园区]
友谊时光,引擎客户端开发工程师,13k-26k·13薪,"移动互联网,游戏 上市公司 500-2000人",经验3-5年 本科,“内部培训 多次调薪”,游戏 C++ C ,[吴中区]
凌志软件,高级java开发工程师（苏州）,10k-20k,金融 上市公司 2000人以上,经验5-10年 不限,“上市公司，待遇优渥”,后端 ,[吴中区]
盛诠纸业,软件开发工程师,5k-10k,"软件开发,其他 不需要融资 150-500人",经验3-5年 大专,“薪资福利优厚”,C# MySQL 数据库 服务器端 ,[高新区]
昆山双叶软件科技有限公司,.net开发工程师,9k-18k,"数据服务,物流丨运输 未融资 15-50人",经验1-3年 不限,“五险一金 周末双休 年终奖金 工作餐”,C#/.NET ,[昆山市]
集萃未来城市应用研究所,研发经理,20k-30k,"人工智能,软件开发 未融资 50-150人",经验5-10年 本科,“五险一金 周末双休 餐补 交通补贴”,高级技术管理 架构师 ,[相城区]
苏州赛博威,.net开发工程师,10k-12k·13薪,移动互联网 未融资 50-150人,经验1-3年 本科,“五险一金，弹性工作，定期旅游，福利补贴”,.NET C# VB ,[工业园区]
昆山海隆,Java/.NET开发工程师,8k-15k,移动互联网 不需要融资 150-500人,经验不限 本科,“年度旅游、五险一金、饭贴补助、员工宿舍等”,软件开发 ,[昆山市]
第二空间,VR教育平台架构设计师,10k-20k,VR丨AR / /,经验5-10年 本科,“创新性企业发展潜力巨大，合伙人模式。”,VR Unity3d ,[吴江区]
领裕电子,软件工程师,5k-7k·13薪,通讯电子 上市公司 2000人以上,经验应届毕业生 本科,“上市公司 平台好”,C# C C++ ,[相城区]
同程旅行,.net开发工程师,15k-30k·15薪,旅游 上市公司 2000人以上,经验5-10年 本科,“千万级流量 扁平化管理 竞争力薪酬”,旅游 电商 .NET ,[工业园区]
阅文集团,.net开发工程师（潇湘书院）,10k-15k,文娱丨内容 上市公司 500-2000人,经验1-3年 本科,"“工作地苏州,Top团队,,福利待遇好”",移动互联网 C#/.NET Javascript 移动开发 ,[工业园区]
布瑞克信息,Java高级工程师,15k-20k,其他 C轮 50-150人,经验5-10年 本科,“双休 五险一金”,Java ,[元和]
诺丰软件,软件开发工程师,12k-18k·13薪,"数据服务,企业服务 未融资 少于15人",经验3-5年 大专,“五险一金， 十三薪”,后端 ,[独墅湖]
友谊时光,测试开发工程师,8k-16k·13薪,"移动互联网,游戏 上市公司 500-2000人",经验1-3年 本科,“内部培训 多次调薪”,游戏 自动化测试 测试开发 ,[吴中区]
capsio,软件开发工程师,5k-10k,软件开发 未融资 少于15人,经验1-3年 本科,“五险，项目奖金，绩效奖金”,C/C++ ,[元和]
兴模科技,高薪Csharp开发1年经验,12k-15k·13薪,软件开发 不需要融资 15-50人,经验1-3年 本科,“可接受应届生并提供培训”,工具软件 Java .NET C# ,[昆山市]
苏州先进院,c++软件开发实习生,3k-4k·13薪,医疗丨健康 未融资 50-150人,经验应届毕业生 硕士,“周末双休 完善培训 优厚福利 良好环境”,医疗健康 大数据 C++ ,[工业园区]
米牛电商,.net开发工程师,10k-14k·14薪,"移动互联网,电商 不需要融资 15-50人",经验5-10年 大专,“工作轻松”,.NET ,[工业园区]
诺仕,.net软件开发工程师,15k-25k,"电商,金融 上市公司 500-2000人",经验3-5年 本科,“竞争力的薪资，全球技术专家的指导和培训”,支付 后端 C#/.NET ,[湖东]
派若代姆,量化分析师/量化交易员,7k-8k,区块链、物联网 未融资 少于15人,经验不限 本科,“量化算法交易和技术公司”,大数据 MySQL 数据架构 Python ,[太仓市]
微软（中国）有限公司,Software Engineer-O365,25k-50k,"移动互联网,数据服务 上市公司 2000人以上",经验不限 本科,“国际化团队 多个hc”,云计算 C# 分布式 后端 ,[工业园区]
智慧芽,高级测试开发工程师(J10779),12k-18k,移动互联网 D轮及以上 150-500人,经验3-5年 本科,“发展空间大；技术氛围好”,接口测试 自动化测试 ,[工业园区]
君师禾,自动化测试开发工程师,18k-32k,信息安全 未融资 15-50人,经验不限 本科,“薪资福利待遇好”,C C++ ,[吴中区]
超娱互动,资深u3d,15k-20k,游戏 未融资 15-50人,经验3-5年 大专,“薪资待遇高，公司环境好”,游戏 Unity3d ,[娄葑]
凌志软件,项目经理（对日软件开发）,15k-20k·14薪,金融 上市公司 2000人以上,经验5-10年 大专,“股权激励”,高级技术管理 团队建设 领导力 ,[吴中区]
凌志软件,实习生（对日项目开发）,2k-3k,金融 上市公司 2000人以上,经验不限 本科,“发展空间大，平台好”,Java ,[吴中区]
上海绿建信息科技有限公司,c++开发工程师 开发助理,6k-10k,"信息安全,数据服务 未融资 15-50人",经验应届毕业生 本科,"“培训,提供住宿,旅游,团建聚餐”",信息安全 后端 C++ Windows ,[昆山市]
